fold,site,state,n_inducing,n_train,n_test,ip_selection_time,train_time,infer_time,total_fold_time,stopped_epoch
49,106962_44804,WY,128,48591,261,15.99393423832953,112.41617168206722,0.020403639879077673,128.43050956027582,50
49,106962_44804,WY,256,48591,261,21.113020834047347,104.98906058026478,0.023096642922610044,126.12517805723473,50
49,106962_44804,WY,512,48591,261,48.107334413100034,120.25309615395963,0.039787431713193655,168.40021799877286,50
49,106962_44804,WY,1024,48591,261,66.09480382874608,147.98369231121615,0.03751862980425358,214.11601476976648,50
50,103379_46894,ND,128,48127,725,11.117510553915054,102.49570711515844,0.03664040798321366,113.6498580770567,50
50,103379_46894,ND,256,48127,725,23.49223619233817,109.53426424879581,0.021968983113765717,133.04846942424774,50
50,103379_46894,ND,512,48127,725,29.544953735079616,103.97178633278236,0.02444842690601945,133.541188494768,50
50,103379_46894,ND,1024,48127,725,39.85672822082415,127.73635096289217,0.03927174583077431,167.6323509295471,50
51,103484_43558,SD,128,48126,726,9.030766478274018,95.28578223101795,0.03690948709845543,104.35345819639042,50
51,103484_43558,SD,256,48126,726,17.830382450018078,106.6578684230335,0.02123728906735778,124.50948816211894,50
51,103484_43558,SD,512,48126,726,30.35660841409117,108.49326400691643,0.034430935978889465,138.8843033569865,50
51,103484_43558,SD,1024,48126,726,88.87754722312093,147.98025071294978,0.027636049780994654,236.8854339858517,50
52,103300_47581,ND,128,48134,718,11.41624057199806,112.64340870082378,0.048666959162801504,124.10831623198465,50
52,103300_47581,ND,256,48134,718,21.684844862669706,109.33904241910204,0.020782562904059887,131.0446698446758,50
52,103300_47581,ND,512,48134,718,43.441825817804784,115.68892959272489,0.022863955702632666,159.1536193662323,50
52,103300_47581,ND,1024,48134,718,79.67279819399118,157.86469902517274,0.02676194394007325,237.564259163104,50
53,103640_48153,ND,128,48131,721,11.385883077979088,108.61782481707633,0.0196754802018404,120.02338337525725,50
53,103640_48153,ND,256,48131,721,26.870280205272138,110.01236091507599,0.029251011088490486,136.91189213143662,50
53,103640_48153,ND,512,48131,721,48.33697726810351,107.63495596917346,0.05004251794889569,156.02197575522587,50
53,103640_48153,ND,1024,48131,721,62.18870070716366,150.02425669459626,0.06821017200127244,212.2811675737612,50
54,113562_43461,ID,128,48634,218,6.83399274200201,88.07007648702711,0.020232193171977997,94.9243014222011,50
54,113562_43461,ID,256,48634,218,6.893672313075513,80.63207336701453,0.019520948641002178,87.54526662873104,50
54,113562_43461,ID,512,48634,218,15.690939149819314,98.1675482019782,0.022547006607055664,113.88103435840458,50
54,113562_43461,ID,1024,48634,218,43.00932601839304,134.73082453012466,0.025469963904470205,177.76562051242217,50
55,114928_44170,ID,128,48666,186,13.139017804060131,118.73552730120718,0.020451191812753677,131.89499629708007,50
55,114928_44170,ID,256,48666,186,14.890336137264967,109.27260301681235,0.024876654148101807,124.18781580822542,50
55,114928_44170,ID,512,48666,186,28.64200116507709,101.30061280867085,0.0445704679004848,129.98718444164842,50
55,114928_44170,ID,1024,48666,186,82.30197162833065,147.49823223473504,0.03360302885994315,229.83380689192563,50
56,108720_47582,MT,128,48630,222,17.102660960983485,105.64943155925721,0.03247822029516101,122.78457074053586,50
56,108720_47582,MT,256,48630,222,20.569304997101426,101.8572658021003,0.02117455005645752,122.44774534925818,50
56,108720_47582,MT,512,48630,222,25.01800819300115,96.7034418033436,0.049042990896850824,121.7704929872416,50
56,108720_47582,MT,1024,48630,222,40.13019185932353,128.2208725232631,0.02963425498455763,168.3806986375712,50
57,113997_48510,MT,128,48631,221,12.11522156605497,125.71165572898462,0.02886359393596649,137.85574088897556,50
57,113997_48510,MT,256,48631,221,27.631148763000965,111.7443052046001,0.03679222799837589,139.41224619559944,50
57,113997_48510,MT,512,48631,221,49.03614378673956,114.50909128924832,0.028871851041913033,163.5741069270298,50
57,113997_48510,MT,1024,48631,221,81.99625241896138,154.7685630391352,0.0369415651075542,236.80175702320412,50
58,111712_46826,MT,128,48705,147,12.483055999036878,109.60367208113894,0.032379763666540384,122.11910784384236,50
58,111712_46826,MT,256,48705,147,22.238894662819803,108.64767552120611,0.02039548521861434,130.90696566924453,50
58,111712_46826,MT,512,48705,147,55.78465934097767,108.38138053799048,0.04242014326155186,164.2084600222297,50
58,111712_46826,MT,1024,48705,147,91.783243319951,156.21838435390964,0.0520433122292161,248.05367098608986,50
59,113155_47122,MT,128,48629,223,13.217665722128004,105.62679195869714,0.019513772800564766,118.86397145362571,50
59,113155_47122,MT,256,48629,223,17.08762040408328,105.72612613020465,0.02096507605165243,122.83471161033958,50
59,113155_47122,MT,512,48629,223,37.12445291830227,116.5726906741038,0.03567988192662597,153.7328234743327,50
59,113155_47122,MT,1024,48629,223,87.35491225216538,155.15904041705653,0.03052325500175357,242.54447592422366,50
60,114001_45860,MT,128,48616,236,7.249085524119437,90.43104913877323,0.019119011238217354,97.69925367413089,50
60,114001_45860,MT,256,48616,236,11.809014549013227,94.44102611392736,0.019365340936928988,106.26940600387752,50
60,114001_45860,MT,512,48616,236,16.508354695048183,93.6293054590933,0.02469430724158883,110.16235446138307,50
60,114001_45860,MT,1024,48616,236,38.46895665535703,124.67354712821543,0.03150893794372678,163.1740127215162,50
61,115672_47955,MT,128,48634,218,7.895075749605894,112.26406868826598,0.020922175142914057,120.18006661301479,50
61,115672_47955,MT,256,48634,218,19.56816063495353,105.7160891010426,0.021184735000133514,125.30543447099626,50
61,115672_47955,MT,512,48634,218,51.395306997932494,117.85264945961535,0.055211090948432684,169.30316754849628,50
61,115672_47955,MT,1024,48634,218,67.72243451699615,158.09202862298116,0.03653952293097973,225.8510026629083,50
62,104476_48487,MT,128,48636,216,6.621801805216819,91.67778738494962,0.019938352052122355,98.31952754221857,50
62,104476_48487,MT,256,48636,216,9.093218876048923,84.75256522325799,0.01967518124729395,93.8654592805542,50
62,104476_48487,MT,512,48636,216,17.9090908030048,91.27044962299988,0.022683249786496162,109.20222367579117,50
62,104476_48487,MT,1024,48636,216,36.58848166791722,127.20888230996206,0.026161490008234978,163.82352546788752,50
63,104818_41137,WY,128,48629,223,11.89545379113406,115.67650319682434,0.03296511201187968,127.60492209997028,50
63,104818_41137,WY,256,48629,223,20.460654330905527,105.60650501493365,0.020884464029222727,126.0880438098684,50
63,104818_41137,WY,512,48629,223,39.83090489404276,108.23005884187296,0.038193888030946255,148.09915762394667,50
63,104818_41137,WY,1024,48629,223,100.40771546028554,148.12454798212275,0.026636942755430937,248.55890038516372,50
64,106956_44815,WY,128,48632,220,16.436918129678816,110.33820503111929,0.029490891844034195,126.80461405264214,50
64,106956_44815,WY,256,48632,220,23.9686999223195,105.29749399330467,0.02820703713223338,129.2944009527564,50
64,106956_44815,WY,512,48632,220,34.52439748495817,124.91282766778022,0.045286729000508785,159.4825118817389,50
