site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
111092_44658,MT,128,48131,721,0.9363660246323536,0.7692700929787948,-0.4411433945533094,3.788086478193987,2.5520719372799463,0.29864230283874005,115.46231993567199,0.04409533692523837,12.727264041081071,128.2336793136783,50,0.14225170016288757,0.42901068925857544,0.3894573152065277,0.6529713869094849,486.15758150421374,559.7514686725835,397.414279239133,0.23538346588611603
111092_44658,MT,256,48131,721,1.0305115319960383,0.8500847230762141,-0.7455070742774725,4.010328767903592,2.914269363902264,0.21393265873818235,110.17965901177377,0.020534906070679426,26.792630956042558,136.992824873887,50,0.16416668891906738,0.44030603766441345,0.38050714135169983,0.6601214408874512,409.3495319110771,519.3638464230904,394.7328830831413,0.21319279074668884
111092_44658,MT,512,48131,721,1.1903037670876608,0.9876713881269807,-1.3287963788509134,4.772293327779196,3.684679260955384,-0.11315093881134453,117.57406874094158,0.032239805441349745,46.68154499493539,164.28785354131833,50,0.18606159090995789,0.4648841917514801,0.3811955153942108,0.6334091424942017,343.18635303799346,491.37955803048607,402.4236447391962,0.1943543255329132
111092_44658,MT,1024,48131,721,1.3001459404051285,1.0864161043551828,-1.7784341580658318,5.418617958030312,4.3397375454427225,-0.43508247730876803,145.19234026735649,0.03775998577475548,95.31369949085638,240.54379974398762,50,0.2095501869916916,0.466775119304657,0.4005819857120514,0.6331894993782043,328.9810032379211,478.69325480266264,415.721396666375,0.1831488162279129
111864_42082,ID,128,48168,684,0.516743325982643,0.389239829625178,0.4015132486448276,5.58077945259818,2.9168076711453446,0.23144567834962626,106.1129826749675,0.020419339183717966,12.186061763204634,118.31946377735585,50,0.1313517689704895,0.4139232039451599,0.3646041750907898,0.6541652679443359,528.1153660419385,561.6943396166914,401.5323117148423,0.23967741429805756
111864_42082,ID,256,48168,684,0.5397629702335175,0.37518582853635796,0.34700333603270794,5.875343086648998,2.8505161946642024,0.1481731734770645,111.38438799837604,0.021606916096061468,18.579742224887013,129.98573713935912,50,0.1608230173587799,0.4460984468460083,0.3825574219226837,0.6469153761863708,424.84916931250456,518.3271704381175,403.4276216999196,0.21403148770332336
111864_42082,ID,512,48168,684,0.5627344347461481,0.392425631212185,0.2902395899943404,6.025937818943587,2.949310266659229,0.10394608645613723,119.20275807008147,0.0337534761056304,38.95981076778844,158.19632231397554,50,0.18532980978488922,0.4586533308029175,0.3887079060077667,0.6335045695304871,349.7659410465683,495.39393200228295,409.01443332048575,0.1951165795326233
111864_42082,ID,1024,48168,684,0.5803096475214226,0.40146155874983597,0.2452130723742607,6.0791529943172,2.982338804461061,0.08805006652058034,128.39934679167345,0.028050200082361698,93.46429545013234,221.89169244188815,50,0.20333951711654663,0.4784821569919586,0.395512193441391,0.6289449334144592,331.56237097140377,485.4419756716232,420.280562053866,0.18322919309139252
116106_44890,ID,128,48129,723,0.5490129636222836,0.42456204402786096,0.4115877421173201,5.119478389999585,3.231004884293278,0.2975577296733729,123.73781102802604,0.04227726487442851,12.305541320238262,136.08562961313874,50,0.13794058561325073,0.4264063239097595,0.3819357752799988,0.6741543412208557,511.20807779694417,559.5270781855593,395.3132777456461,0.23865732550621033
116106_44890,ID,256,48129,723,0.5835922618575776,0.4665077035456396,0.3351317991675984,5.562067703294459,3.5492769106092017,0.17085258420405436,114.06469492288306,0.021207422018051147,22.041268146131188,136.1271704910323,50,0.16072089970111847,0.45715445280075073,0.4011951684951782,0.6398962140083313,418.05705758690794,528.7299829756018,407.49018706490114,0.2135220617055893
116106_44890,ID,512,48129,723,0.6052969183840031,0.49069874254807105,0.28475729262796623,5.618707897543764,3.6481400701476714,0.1538796911407152,115.91938806790859,0.032984863966703415,36.90414823777974,152.85652116965503,50,0.1881459653377533,0.465027391910553,0.37733182311058044,0.6199713349342346,353.67787560456304,494.29231536341,413.05271355389874,0.19395259022712708
116106_44890,ID,1024,48129,723,0.6461891686311723,0.5363072729463054,0.18485313820014404,5.819038370911292,3.8636649576916624,0.09246861823800046,135.67842398490757,0.047709119040519,61.7266660919413,197.45279919588938,50,0.20976343750953674,0.4589124321937561,0.394067645072937,0.611721396446228,329.1728185542914,485.269191420818,429.3835635975721,0.18257227540016174
116348_43601,ID,128,48128,724,0.493735851261909,0.38664028831617425,0.2773542839151134,4.541454062694912,3.167680250134624,0.4765434102533086,109.00394662190229,0.0276575218886137,12.215916435234249,121.24752057902515,50,0.13948529958724976,0.43006569147109985,0.39624425768852234,0.6628707647323608,503.6043905068005,575.0118173132669,395.70041411458055,0.24122735857963562
116348_43601,ID,256,48128,724,0.43780205640148373,0.34562211758652817,0.4318124675721058,4.559790836193087,2.8928026134648754,0.47230781413756207,108.83527911314741,0.03727539535611868,21.917000640183687,130.7895551486872,50,0.1557503491640091,0.44164055585861206,0.40030747652053833,0.6433282494544983,415.86748623936063,522.6832420203656,403.0507647963138,0.21670497953891754
116348_43601,ID,512,48128,724,0.41134821328169474,0.32401898377690064,0.4984025313955034,4.664374393459322,2.7669544615650423,0.44782387430040627,101.35273739602417,0.035113959107548,25.76073813205585,127.14858948718756,50,0.18796028196811676,0.46177470684051514,0.3847883641719818,0.6355787515640259,351.7314609218859,502.9970242351857,413.38035133153255,0.19560270011425018
116348_43601,ID,1024,48128,724,0.420837821035832,0.3358318005868626,0.47499234938127055,4.834694992194106,2.9183567009430282,0.40676197294392114,133.39467511791736,0.027340071741491556,45.27825683914125,178.7002720288001,50,0.20283369719982147,0.47154873609542847,0.39609840512275696,0.6260188817977905,324.3724319460564,488.3479482616386,419.31761798391085,0.1843368411064148
112013_46659,MT,128,48122,730,0.5361841866786053,0.40297005749716136,0.30031343921624265,6.764943739727381,3.6042606430761475,0.16735411844458425,90.7044540271163,0.03272780170664191,7.619858486112207,98.35704031493515,50,0.14425398409366608,0.41590559482574463,0.383100688457489,0.6632940769195557,522.7259885857427,560.0501851384521,394.70255854759205,0.23952321708202362
112013_46659,MT,256,48122,730,0.5553891300767799,0.4268882192646185,0.2492933196836431,6.701949538507983,3.7785907658191706,0.18278888096360357,104.06048040511087,0.045761215034872293,13.286013315897435,117.39225493604317,50,0.15552063286304474,0.4511567950248718,0.3821031451225281,0.64366614818573,419.6112030930806,521.7826696268929,402.00828865215914,0.21314606070518494
112013_46659,MT,512,48122,730,0.5565138841975156,0.4287460823663882,0.24624963239993714,6.586483137861194,3.7400698150489005,0.2107054054098313,113.98226805496961,0.04948456026613712,27.095044139306992,141.12679675454274,50,0.18723687529563904,0.4723852872848511,0.3865000605583191,0.6397449970245361,356.44378802244165,495.9213913494959,410.3823687252224,0.19488434493541718
112013_46659,MT,1024,48122,730,0.6037098850807106,0.47995428087009523,0.1129826731802005,6.794271773999189,4.143232281951612,0.1601189361373302,135.05731601500884,0.026957842987030745,46.499745905864984,181.58401976386085,50,0.20768259465694427,0.4750477075576782,0.39784929156303406,0.6270875334739685,338.11959800278936,485.28738878307365,419.13828017369286,0.18253681063652039
112456_42978,ID,128,48219,633,0.604831277628773,0.45324403005006253,0.24573595077975907,3.498676183107618,2.329073915836087,0.5629091165939885,99.37940496392548,0.01981729594990611,10.691164412070066,110.09038667194545,50,0.1344653218984604,0.4254405200481415,0.3872789740562439,0.6684893369674683,505.2990136881373,568.8738907223468,396.0087139670939,0.2385517805814743
