fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
48,105586_41303,WY,400,400,26452,0.4341340835073005,0.3604214493612926,-0.4461810380504201,3.592608219012618
49,106962_44804,WY,25,25,1684,0.6257666602552291,0.47823606940434377,-0.15792374247019647,1.1622666120529175
49,106962_44804,WY,50,50,3435,0.6009232367041137,0.4735183012626048,-0.0678078581097572,0.13232145505025983
49,106962_44804,WY,100,100,6566,0.5813254939954828,0.4418136382885436,0.0007046750187620354,0.28008142416365445
49,106962_44804,WY,150,150,10026,0.49883799229784204,0.3872273213362171,0.264175638526307,0.4434899848420173
49,106962_44804,WY,200,200,13240,0.45423052920439844,0.3541985904049038,0.3898905423538328,1.7716946210712194
49,106962_44804,WY,250,250,16596,0.4824426717018524,0.38262212734261447,0.31174948552721904,1.206942789023742
49,106962_44804,WY,300,300,20096,0.4637652172811897,0.36298283614949367,0.3640082775766804,2.1346061050426215
49,106962_44804,WY,350,350,23287,0.4435064615664449,0.3490222598496604,0.4183589897174852,2.8429130299482495
49,106962_44804,WY,400,400,26624,0.46542815900038353,0.3659258519195922,0.35943909774536553,3.7755099970381707
50,103379_46894,ND,25,25,1603,0.6908011995565172,0.5304624969192112,-0.3051236005964142,0.5304685907904059
50,103379_46894,ND,50,50,3240,0.6244324110356111,0.4788581984162325,-0.06639070485208753,0.13313757604919374
50,103379_46894,ND,100,100,6603,0.6556159413730241,0.4977274013355222,-0.17555915200165706,0.22475880500860512
50,103379_46894,ND,150,150,10061,0.6178750053549158,0.4732251958927142,-0.044111144963685955,0.4532087352126837
50,103379_46894,ND,200,200,13243,0.6299995254164655,0.48220183394407085,-0.08549023675242706,2.0412797939497977
50,103379_46894,ND,250,250,16776,0.6166917001162057,0.4721201007830031,-0.04011577661571719,1.29089615191333
50,103379_46894,ND,300,300,19771,0.6337519739622871,0.4820112940255781,-0.09845969713121105,1.9184332760050893
50,103379_46894,ND,350,350,23137,0.6317342847813675,0.47989577831109176,-0.09147645378812896,3.3294267600867897
50,103379_46894,ND,400,400,26439,0.630581400238105,0.4791557405159067,-0.08749630532201769,3.8083217449020594
51,103484_43558,SD,25,25,1604,0.5217657634824887,0.4156879129825213,0.19455387403874425,0.9442921399604529
51,103484_43558,SD,50,50,3279,0.49873589485851705,0.3890593428554085,0.2640868015668927,0.1273908109869808
51,103484_43558,SD,100,100,6518,0.47216756489812706,0.3638191580558213,0.3404045667494139,0.2054826479870826
51,103484_43558,SD,150,150,10005,0.4762048357752353,0.37954980319017395,0.32907659557527436,0.4313502840232104
51,103484_43558,SD,200,200,13103,0.48334754226092375,0.3781191761400207,0.3087989826038756,1.160670586163178
51,103484_43558,SD,250,250,16634,0.4507157392532913,0.35214842875942076,0.39897742093469835,1.1844756670761853
51,103484_43558,SD,300,300,19421,0.46032838145861815,0.3578117973533546,0.37306741413772004,1.9415709930472076
51,103484_43558,SD,350,350,23107,0.46935563980926404,0.3698060665603135,0.3482374222393321,2.4171531940810382
51,103484_43558,SD,400,400,26610,0.4582759372853356,0.3612665693851063,0.3786454997491907,3.369867527857423
52,103300_47581,ND,25,25,1626,0.7076892568451089,0.5518195837567522,0.07109608406236079,0.17689016391523182
52,103300_47581,ND,50,50,3321,0.6549624053423418,0.5061670036283346,0.20435684148216582,0.15707287611439824
52,103300_47581,ND,100,100,6452,0.6903206779692664,0.5205141750198112,0.11613211730807316,0.23174557997845113
52,103300_47581,ND,150,150,9753,0.6784916099891527,0.5250858629615118,0.14616382381286075,0.41817030194215477
52,103300_47581,ND,200,200,13498,0.6785176957588621,0.5152788008381448,0.14609816816820753,1.9749856109265238
52,103300_47581,ND,250,250,16522,0.661151736380156,0.509883818753542,0.1892482890720718,1.170071064028889
52,103300_47581,ND,300,300,20299,0.6597625733806531,0.5098007010082753,0.19265169256662373,2.3865660859737545
52,103300_47581,ND,350,350,22734,0.6603624814785544,0.5050955091202697,0.19118281571705642,2.54543894296512
52,103300_47581,ND,400,400,26520,0.6642787092324565,0.5039532169416642,0.18156111631615635,3.530612284084782
53,103640_48153,ND,25,25,1620,0.7125218679933611,0.5747862778525136,-0.33345800396282255,0.32721285498701036
53,103640_48153,ND,50,50,3251,0.6785123880152788,0.5312557796881646,-0.20920103271801604,0.1263664390426129
53,103640_48153,ND,100,100,6537,0.6466408646856456,0.5201844309306357,-0.09827030160196593,0.20785421994514763
